Date : 2024-06-30 22:51:18
Directory : /Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android
Total : 103 files,  4644 codes, 519 comments, 556 blanks, all 5719 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |         90 |      4,161 |         49 |        360 |      4,570 |
| Java       |          2 |        372 |        410 |        164 |        946 |
| Batch      |          1 |         39 |         29 |         22 |         90 |
| TOML       |          1 |         31 |          0 |          4 |         35 |
| JSON       |          1 |         29 |          0 |          0 |         29 |
| Properties |          8 |         12 |         31 |          6 |         49 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                       |        103 |      4,644 |        519 |        556 |      5,719 |
| . (Files)                                                                                                                                                                                                               |          3 |         44 |         57 |         22 |        123 |
| .gradle                                                                                                                                                                                                                 |          7 |        374 |        412 |        169 |        955 |
| .gradle (Files)                                                                                                                                                                                                         |          1 |          1 |          1 |          1 |          3 |
| .gradle/8.4                                                                                                                                                                                                             |          4 |        372 |        410 |        166 |        948 |
| .gradle/8.4 (Files)                                                                                                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| .gradle/8.4/dependencies-accessors                                                                                                                                                                                      |          3 |        372 |        410 |        165 |        947 |
| .gradle/8.4/dependencies-accessors (Files)                                                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76                                                                                                                                             |          2 |        372 |        410 |        164 |        946 |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources                                                                                                                                     |          2 |        372 |        410 |        164 |        946 |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org                                                                                                                                 |          2 |        372 |        410 |        164 |        946 |
| .gradle/8.4/dependencies-accessors/b6e60771395e9885a9c971ad5ffa795d23e55e76/sources/org/gradle                                                                                                                          |          2 |        372 |        410 |        164 |        946 |
